Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
ANTHQB,False,False,False,True,True
ANTMEU,False,True,True,True,True
ANTMEU01,False,True,True,True,True
ANTMEU03,False,True,True,True,True
ANTMEU04,False,True,True,True,True
ANTMEU05,False,True,True,True,True
ANTPIC,False,True,True,True,True
ANTPML,False,False,False,True,True
ANTPML01,False,False,False,True,True
ANTSTK,False,True,True,True,True
ANUBUJ,True,True,True,True,True
APADIF,True,True,True,True,True
APAYIC,False,True,True,True,True
APAYOI,False,True,True,True,True
APEHIO,False,True,True,True,True
APIQOH,True,True,True,False,True
APOVUX,False,True,True,True,True
APOWIM,False,True,True,True,True
APOWOS,False,True,True,True,True
APUDEV,False,True,True,True,True
APUDEV01,False,True,True,True,True
APUKAA,False,False,False,True,True
APUKII,False,False,False,True,True
APUKOO,False,True,True,True,True
APUNEG,False,True,True,True,True
AQAXIB,True,True,True,True,True
AQAXOH,True,True,True,True,True
AQEDEH,False,True,True,True,True
AQEDIL,True,True,True,True,True
AQEDOR,True,True,True,True,True
AQEQOF,False,True,True,True,True
AQEQUL,False,True,True,True,True
AQETUN,True,True,True,True,True
AQEVAV,True,True,True,True,True
AQEVEZ,True,True,True,False,True
AQEVID,True,True,True,True,True
AQEVOJ,True,True,True,True,True
AQIBOT,True,False,False,True,True
AQOQIH,False,True,True,True,True
AQOSEF,False,True,True,True,True
AQOSIJ,False,True,True,True,True
AQOSIJ01,False,True,True,True,True
ARACAA,True,False,False,True,True
ARAGIK,False,True,True,True,True
ARANEP,False,True,True,True,True
AREXAZ,True,True,True,True,True
ARIDIP,False,True,True,True,True
ARIRAX,False,True,True,True,True
ARIWOP,False,True,True,True,True
ARIWUV,False,True,True,True,True
ARIXAC,False,False,False,True,True
ARIXEG,False,True,True,True,True
AROCES,False,True,True,True,True
AROCES01,False,True,True,True,True
AROCIW,False,True,True,True,True
ARORAC,True,False,False,True,True
AROROQ,True,True,True,True,True
ARUDOI,True,True,True,True,True
ARUGAX,True,True,True,True,True
ARUGEB,False,True,True,True,True
ARUJOP,True,True,True,True,True
ARUJUV,True,True,True,True,True
ARUZOF,False,True,True,True,True
ASAHEK,False,True,True,True,True
ASAZUS,False,True,True,True,True
ASEPUJ,False,True,True,True,True
ASEVAW,True,True,True,True,True
ASEVEA,False,True,True,True,True
ASEVIE,True,True,True,True,True
ASIKAP,True,True,True,True,True
ASILET,False,True,True,True,True
ASILIX,False,True,True,True,True
ASILOD,True,True,True,True,True
ASILUJ,True,True,True,True,True
ASITOM,True,True,True,True,True
ASITUS,True,True,True,True,True
ASODIY,True,True,True,True,True
ASUTAM,True,True,True,True,True
ASUTEQ,False,True,True,True,True
ASUVAO,False,True,True,True,True
ASUVES,True,True,True,True,True
ASUVIW,False,True,True,True,True
ASUVOC,True,True,True,True,True
ASUVUI,False,True,True,True,True
ASUWET,False,True,True,True,True
ASUWIX,True,True,True,True,True
ASUWOD,False,True,True,True,True
ASUWUJ,False,True,True,True,True
ASUXAQ,True,True,True,True,True
ASUXEU,False,True,True,True,True
ASUXIY,False,True,True,True,True
ASUXOE,False,True,True,True,True
ASUXUK,False,True,True,True,True
ASUYIZ,False,True,True,True,True
ASUYOF,False,True,True,True,True
