Identifier,Has Disorder,Crystal different to Crystallographer Drawing (including Hydrogens),Crystal different to Crystallographer Drawing (excluding Hydrogens),Is Total Charge 0,Is Total Multiplicity 1
DEGGEE,True,True,True,True,True
DEPHUE,False,True,True,True,True
DEPJAM,True,True,True,True,True
DEPJIU,False,True,True,True,True
DERROK,False,True,True,True,True
DICLEG,False,True,True,True,True
DICLOQ,False,True,True,True,True
DICMOR,False,False,False,True,True
DICMUX,False,False,False,True,True
DICMUX01,False,True,True,True,True
DICMUX02,False,False,False,True,True
DICNIM,False,True,True,True,True
DICNIM01,False,True,True,True,True
DICNOS,False,True,True,True,True
DICNUY,False,True,True,True,True
DICNUY01,False,True,True,True,True
DICNUY02,False,False,False,True,True
DICPAG01,False,True,True,True,True
DICPEK,False,False,False,True,True
DICPEK01,False,True,True,True,True
DIFXOG,True,False,False,True,True
DIFXUM,False,True,True,True,True
DIFYAT,False,True,True,True,True
DIGSOE,False,True,True,True,True
DIGTUL,False,True,True,True,True
DIPQIF,True,True,True,True,True
DIRKOH,True,True,True,True,True
DOCMUG,True,True,True,True,True
DOCXOK,False,True,True,True,True
DOFTIE,False,True,True,True,True
DOFWIH,True,True,True,True,True
DOGREY,True,True,True,True,True
DOHBEJ,False,False,False,True,True
DOHCAG,False,False,False,True,True
DOKQIF,True,True,True,True,True
DOLTOP,True,False,False,True,True
DONREF,False,True,True,True,True
DOQNEF,True,False,False,True,True
DUFDUG,True,True,True,True,True
DUFZAG,True,False,False,True,True
DUFZEK,False,False,False,True,True
DUPHAX,False,True,True,True,True
DUWHEJ,False,False,False,True,True
DUWHIN,False,True,True,True,True
DUWHOT,False,True,True,True,True
DUWPER,False,True,True,True,True
EBIWAR,True,True,True,True,True
EBOZEE,True,True,True,True,True
EBOZII,True,True,True,True,True
EBUTOO,True,True,True,True,True
ECEFOL,True,True,True,True,True
ECENAD,False,True,True,True,True
ECIGII,True,True,True,True,True
ECIGOO,False,True,True,True,True
ECIGUV,True,True,True,True,True
ECIQOW,False,True,True,True,True
ECIQUC,True,True,True,True,True
ECIRAJ,False,True,True,True,True
ECIREN,True,True,True,True,True
ECIRIR,False,False,False,True,True
ECIROX,False,False,False,True,True
ECIRUD,False,False,False,True,True
ECIWUL,False,True,True,True,True
ECIXAS,True,True,True,True,True
EDAROT,False,True,True,True,True
EDELUW,False,True,True,True,True
EDEMAD,False,False,False,True,True
EDUKUM,True,True,True,True,True
EDULAT,True,True,True,True,True
EDULEX,True,False,False,True,True
EDULIB,True,True,True,True,True
EFAJEB,False,False,False,True,True
EFOGIS,True,True,True,True,True
EGEHEE,False,True,True,True,True
EGODUB,False,True,True,True,True
EGOFAJ,False,True,True,True,True
EGOFEN,False,True,True,True,True
EGOKIW,False,False,False,True,True
EGOLIW,True,True,True,True,True
EHICII,True,True,True,True,True
EHICOO,True,True,True,True,True
EKAVAQ,True,True,True,True,True
ELERAR,False,True,True,True,True
ELOLAV,True,False,False,True,True
EMAPAL,False,True,True,True,True
EMUXAO,True,True,True,True,True
EPANEQ,False,False,False,True,True
EPANEQ01,False,True,True,True,True
EPANEQ02,False,True,True,True,True
EQEMOF,True,False,False,True,True
EQICIS,True,True,True,True,True
EQUDIG,False,True,True,True,True
ESEDOW,False,False,False,True,True
ESEDUC,False,True,True,True,True
ESEFAK,True,False,False,True,True
EVOYOE,True,True,True,True,True
EWEWAH,True,True,True,True,True
EXAFOZ,True,True,True,True,True
EXEBOB,True,False,False,True,True
EXEBUH,True,False,False,True,True
EYAGOD,True,True,True,True,True
EYOFUW,True,True,True,True,True
EZETOU,True,True,True,True,True
EZUHIR,False,True,True,True,True
EZUWON,False,True,True,True,True
FABRIM,True,True,True,True,True
FACPUY,False,False,False,True,True
FACQAF,False,True,True,True,True
FACZUI,True,False,False,True,True
FADBAR,False,True,True,True,True
FADBAR01,False,True,True,True,True
FADBEV,True,True,True,True,True
FADMAC,False,True,True,True,True
FADPOT,False,True,True,True,True
FAGQEM,True,True,True,True,True
FAHFON,True,True,True,True,True
FAHTEO,False,True,True,True,True
FAHTIS,False,True,True,True,True
FAHTOY,False,True,True,True,True
FANGIL,True,False,False,True,True
FANGOR,True,True,True,True,True
FANHAE,True,True,True,True,True
FAPQOG,True,True,True,True,True
FAPQUM,True,True,True,True,True
FAPXON,True,True,True,True,True
FAPXUT,False,True,True,True,True
FAQWIH,True,True,True,True,True
FATNOG,True,True,True,True,True
FAVPID,False,True,True,True,True
FAVPOJ,False,True,True,True,True
FAWCEP,True,True,True,True,True
FAXKUO,True,True,True,True,True
FEBTEP,True,True,True,True,True
FEBTIT,False,True,True,True,True
FECZOE,False,True,True,True,True
FECZOE01,False,True,True,True,True
FEGFIJ,True,True,True,True,True
FEGFOP,False,True,True,True,True
FEHQAM,False,True,True,True,True
FEHROA,True,False,False,True,True
FEHROA01,True,False,False,True,True
FEHROA02,True,False,False,True,True
FEHROA03,True,False,False,True,True
FEHROA04,True,False,False,True,True
FEHROA05,True,False,False,True,True
FEHROA06,True,False,False,True,True
FEHROA07,True,False,False,True,True
FEMHIR,False,True,True,True,True
FEVXEL,False,False,False,True,True
FEYDIZ,True,True,True,True,True
FEYDOF,True,True,True,True,True
FIFHAG,False,True,True,True,True
FILHOX,False,False,False,True,True
FIQSEG,False,True,True,True,True
FIQSIK,False,True,True,True,True
FIQSOQ,False,True,True,True,True
FOBMAN,True,True,True,True,True
FOBMER,True,True,True,True,True
FOBROG,True,True,True,True,True
FOBRUM,False,True,True,True,True
FOSPOV,True,True,True,True,True
FOSPOV01,False,True,True,True,True
FOSPOV03,False,True,True,True,True
FOSPUB,True,False,False,True,True
FOSQAI,False,False,False,True,True
FOSQAI01,False,True,True,True,True
FOTGAY,True,True,True,True,True
FOXDII,False,False,False,True,True
FOYWOI,False,True,True,True,True
FUNMEI,True,True,True,True,True
FUNMIM,True,True,True,True,True
FUPGII,False,True,True,True,True
FUPGOO,False,True,True,True,True
FUQPUD,True,True,True,True,True
FUQQAK,True,True,True,True,True
FUSFEH,False,True,True,True,True
GABQUZ,False,True,True,True,True
GACSEK,True,True,True,True,True
GACSIO,True,True,True,True,True
GAFBEY,False,True,True,True,True
GAFPEL,True,True,True,True,True
GAGVUJ,False,True,True,True,True
GATJAQ,True,True,True,True,True
GATXEH,True,True,True,True,True
GAXCUD10,True,True,True,False,True
GAXZAK,True,True,True,True,True
GEGDUT,False,True,True,True,True
GEGFAB,False,True,True,True,True
GEGFEF,False,True,True,True,True
GEGFIJ,True,True,True,True,True
GEGFOP,False,True,True,True,True
GEGFUV,True,True,True,True,True
GEGQUF,False,False,False,True,True
GEJKOY,True,True,True,True,True
GEJKUE,True,True,True,True,True
GERZUB,True,True,True,True,True
GESBAK,True,True,True,True,True
GEVNAZ,True,True,True,True,True
GILFUD,False,False,False,True,True
GILFUD01,False,False,False,True,True
GILFUD03,False,False,False,True,True
GINMUN,False,True,True,True,True
GIVZUJ,False,True,True,True,True
GIWBAS,False,True,True,True,True
GOCQIA,True,True,True,True,True
GODCEI,True,True,True,True,True
GOHDIR,False,True,True,True,True
GOHDOX,False,True,True,True,True
GOJRON,False,True,True,True,True
GORVEQ,True,True,True,True,True
GORVIU,True,True,True,True,True
GORVIU01,False,True,True,True,True
GORVUG,False,True,True,True,True
GOWQOB,False,False,False,True,True
GOWQUH,True,True,True,True,True
GOZWAW,False,True,True,True,True
GOZWAW01,False,True,True,True,True
GOZWAW02,False,True,True,True,True
GOZWIE,False,True,True,True,True
GOZWIE01,False,True,True,True,True
GOZWIE02,False,True,True,True,True
GOZWIE03,False,True,True,True,True
GUBCOY,False,True,True,True,True
GUDCEQ,True,True,True,True,True
GUMZIY,False,True,True,True,True
GUMZOE,False,False,False,True,True
GUMZUK,False,False,False,True,True
GUNBAT,False,False,False,True,True
GUNBEX,False,True,True,True,True
GUQPIU,True,False,False,True,True
GUQZUP,False,True,True,True,True
GUQZUP01,False,True,True,True,True
GUSFIL,False,False,False,True,True
GUSMAK,False,True,True,True,True
GUXMAO,True,True,True,True,True
GUXMES,False,True,True,True,True
GUXMIW,True,True,True,True,True
GUXMOC,True,True,True,True,True
HAKJIO,False,True,True,True,True
HAPJUF,False,True,True,True,True
HAPKAM,False,True,True,True,True
HAPRAU,True,False,False,True,True
HAXCIW,False,True,True,True,True
HAXDUJ,True,True,True,True,True
HAXFAR,True,True,True,True,True
HAXFEV,True,True,True,True,True
HBZCOR,False,True,True,True,True
HBZCOR01,False,True,True,True,True
HEHQUJ,False,True,True,True,True
HEHQUJ01,False,True,True,True,True
HEJCAD,False,True,True,True,True
HEJCEH,True,True,True,True,True
HETVAG,True,True,True,True,True
HETYOX,False,True,True,True,True
HIBFUW,False,True,True,True,True
HIBTOE,False,True,True,True,True
HICGAE,False,True,True,True,True
HICGEI,True,True,True,True,True
HICGIM,True,True,True,True,True
HICHUY,False,True,True,True,True
HICJAG,False,True,True,True,True
HICJAG01,False,True,True,True,True
HIDFEI,False,True,True,True,True
HIFPUK,True,True,True,True,True
HIGNIV,False,True,True,True,True
HIGNIV01,False,False,False,True,True
HIGPUJ,False,False,False,True,True
HIGPUJ01,False,False,False,True,True
HIGPUJ02,False,False,False,True,True
HIGPUJ03,False,False,False,True,True
HIGPUJ04,False,True,True,True,True
HIGPUJ05,False,True,True,True,True
HIGPUJ06,False,True,True,True,True
HIGPUJ07,False,True,True,True,True
HIMCIS,True,True,True,True,True
HIMFAN,True,True,True,True,True
HINXUA,False,True,True,True,True
HIRKIF,False,True,True,True,True
HISSEJ,True,True,True,True,True
HITGUO,True,True,True,True,True
HITHAV,True,True,True,True,True
HIZHAA,False,True,True,True,True
HOCTUR,True,True,True,True,True
HOFLAS,True,True,True,True,True
HOFLEW,True,True,True,True,True
HOFNEX,True,True,True,True,True
HOFNIB,False,True,True,True,True
HOFNOH,False,False,False,True,True
HOFNOH01,False,False,False,True,True
HOFPID,True,True,True,True,True
HOHMOI,True,True,True,True,True
HONQAE,True,True,True,True,True
HONQAE01,False,True,True,True,True
HONWOY,True,True,True,True,True
HONZIV,True,False,False,True,True
HOVBIG,True,True,True,True,True
HOVBOM,True,True,True,True,True
HOVDAA,True,False,False,True,True
HOVDEE,True,False,False,True,True
HUDMUQ,True,True,True,True,True
HUDNAX,True,True,True,True,True
HUGKUR,True,True,True,True,True
HUGLEC,True,True,True,True,True
HULKOO,False,True,True,True,True
HUQNOZ,False,True,True,True,True
HUQPAN,False,True,True,True,True
HURJAI,True,True,True,True,True
HURJIQ,False,True,True,True,True
HUVQEX,False,True,True,True,True
HUWSUQ,False,True,True,True,True
HUZTEE,False,True,True,True,True
IBEBAV,False,False,False,True,True
IBENUC,True,True,True,True,True
IBIFUY,True,True,True,True,True
IBIGAF,True,True,True,True,True
IBIGEJ,True,True,True,True,True
IBOZEH,False,True,True,True,True
IBOZEH01,False,True,True,True,True
ICEKAG,True,True,True,True,True
ICEKEK,True,True,True,True,True
ICEKIO,True,True,True,True,True
ICUPUU,False,True,True,True,True
ICUQEF,False,False,False,True,True
ICUQIJ,False,True,True,True,True
ICUQUV,False,True,True,True,True
ICURAC,False,True,True,True,True
ICUZOX,True,True,True,True,True
IDUPUU,True,True,True,True,True
IGAPOY,False,True,True,True,True
IGIKIV,False,True,True,True,True
IJEQUL,False,True,True,True,True
IJEZIH01,False,True,True,True,True
IJEZIH02,False,True,True,True,True
IJOXAJ,False,True,True,True,True
IKADUT,True,True,True,True,True
IKASIX,True,True,True,True,True
IMATUO,True,True,True,True,True
IMAZUU,True,True,True,True,True
IMEJUH,True,True,True,True,True
INAZEE,True,True,True,True,True
INELOE,True,True,True,True,True
INELUK,False,True,True,True,True
INELUK01,True,True,True,True,True
INELUK02,False,True,True,True,True
INELUK03,False,True,True,True,True
INESUS,True,True,True,True,True
IPALIX,False,False,False,True,True
IPAMOE,False,False,False,True,True
IPENAV,True,True,True,True,True
IQABEI,False,False,False,True,True
IQAFIP,True,True,True,True,True
IQAGAI,False,True,True,True,True
IQERED,True,True,True,True,True
IQIDIW,False,True,True,True,True
IQIDIW01,False,True,True,True,True
IQIDIW02,False,True,True,True,True
IQIDOC,False,True,True,True,True
IQIDUI,False,True,True,True,True
IQITAE,False,True,True,True,True
IQITEI,False,False,False,True,True
IQUHAG,False,True,True,True,True
IRIGAU,True,True,True,True,True
IRIJAX,True,True,True,True,True
ISAMIY,True,True,True,True,True
ISAZUA,True,True,True,True,True
ITOCIG,False,True,True,True,True
ITOCOM,True,True,True,True,True
ITOFII,True,True,True,True,True
ITUKEO,True,True,True,True,True
ITUKIS,True,True,True,True,True
ITUKOY,True,True,True,True,True
IVAFOB,False,True,True,True,True
IVANOL,True,False,False,True,True
IVEQAE,True,True,True,True,True
IVOJAG,False,False,False,True,True
IVOLAJ,True,True,True,True,True
IVOSET02,True,True,True,True,True
IVOSIX02,True,True,True,True,True
IWERIN,True,True,True,True,True
IWEVUE,True,True,True,True,True
IWEWEP,True,True,True,True,True
IYIWOF,False,True,True,True,True
IYOBII,True,True,True,True,True
IYOBOO,False,True,True,True,True
IZAMEE,True,True,True,True,True
IZUGER,False,True,True,True,True
IZUGIV,True,True,True,True,True
IZUHIW,False,True,True,True,True
IZUHOC,True,True,True,True,True
IZUHUI,False,True,True,True,True
IZUJAQ,False,True,True,True,True
IZUJEU,False,True,True,True,True
IZUJIY,True,True,True,True,True
IZUJOE,False,True,True,True,True
JACWIW,False,True,True,True,True
JACWOC,False,False,False,True,True
JACWUI,False,True,True,True,True
JACXAP,False,True,True,True,True
JACXET,False,False,False,True,True
JACXIX,True,True,True,True,True
JAFSOC,True,False,False,True,True
JANWUT,False,False,False,True,True
JANXOO,True,True,True,True,True
JAPXII,True,True,True,True,True
JARGAL,True,True,True,True,True
JARGEP,True,True,True,True,True
JEKGIQ,False,True,True,True,True
JEKGOW,False,True,True,True,True
JEMSIE,True,True,True,True,True
JEMSOK,True,True,True,True,True
JETQIL,True,True,True,True,True
JEYGEC,True,True,True,True,True
JEZPIQ,True,True,True,True,True
JIBMOZ,True,True,True,True,True
JIBMUF,False,True,True,True,True
JIBNAM,True,False,False,True,True
JIPJUQ,False,True,True,True,True
JIPSIL,False,True,True,True,True
JIPSOR,False,True,True,True,True
JIPSUX,False,True,True,True,True
JITLII,True,True,True,True,True
JIVTUG,False,True,True,True,True
JOGYUC,True,True,True,True,True
JOHVEK,True,True,True,True,True
JOHVIO,True,True,True,True,True
JOQZIA,False,False,False,True,True
JORCEB,True,True,True,True,True
JOSZAV,False,True,True,True,True
JOXLOA,True,True,True,True,True
JOYJAL,False,True,True,True,True
JUBDER,True,True,True,True,True
JUBDIV,False,True,True,True,True
JUVSIF,True,True,True,True,True
JUWCUC,False,True,True,True,True
JUWDAJ,False,True,True,True,True
JUWDEN,False,True,True,True,True
JUZLAT,False,True,True,True,True
KAGFOP,False,True,True,True,True
KAGFUV,False,True,True,True,True
KAGGAC,False,True,True,True,True
KAGGEG,False,True,True,True,True
KAGGEG01,False,True,True,True,True
KAGGIK,False,True,True,True,True
KAHQAP,False,True,True,True,True
KAJGIL01,False,True,True,True,True
KAJPEQ01,False,True,True,True,True
KAJTEX,False,True,True,True,True
KAJTIB,True,True,True,True,True
KAKKEO,True,True,True,True,True
KAKKEO01,True,True,True,True,True
KAXFOI,True,True,True,True,True
KEBXUO,False,True,True,True,True
KECLAH,False,True,True,True,True
KEDQUI,False,True,True,True,True
KEDVUO,False,True,True,True,True
KEDWAV,True,True,True,True,True
KEDWEZ,True,True,True,True,True
KEFFEJ,False,True,True,True,True
KEGQOF,False,True,True,True,True
KEMDEN,True,False,False,True,True
KEMDIR,False,True,True,True,True
KEMDIR02,True,False,False,True,True
KEPDIV,False,False,False,True,True
KEPDIV01,False,False,False,True,True
KEPDOB,False,False,False,True,True
KEPDOB01,False,False,False,True,True
KEPDUH,False,True,True,True,True
KEPDUH01,False,True,True,True,True
KIFQAU,True,False,False,True,True
KIFQEY,True,False,False,True,True
KIFXAB,False,True,True,True,True
KIFYEG,True,True,True,True,True
KIFYIK,True,True,True,True,True
KIMKEZ,False,True,True,True,True
KIMKID,False,True,True,True,True
KIQVOY,True,True,True,True,True
KISPUY,False,True,True,True,True
KISQAF,True,True,True,True,True
KIYXAU,True,True,True,True,True
KIZSUK,True,True,True,True,True
KIZTAR,True,True,True,True,True
KIZTAR01,True,True,True,True,True
KIZTEV,True,True,True,True,True
KIZTIZ,True,True,True,True,True
KIZTOF,True,True,True,True,True
KOGXIQ,False,True,True,True,True
KOTWOI,True,False,False,True,True
KOTWUO,True,False,False,True,True
KOTXAV,True,True,True,True,True
KOTXEZ,True,True,True,True,True
KOTXID,True,True,True,True,True
KOTXOJ,True,False,False,True,True
KOTXUP,True,False,False,True,True
KOTYAW,True,False,False,True,True
KOVNER,False,True,True,True,True
KOVNIV,True,True,True,True,True
KOYWUT,False,True,True,True,True
KUDDEV,True,True,True,True,True
KUDFAT,True,True,True,True,True
KUHQOW,False,True,True,True,True
KUJPOX,False,True,True,True,True
KUKKIN,True,True,True,True,True
KUKKOT,False,True,True,True,True
KUKKUZ,False,True,True,True,True
KUKLAG,True,True,True,True,True
KUKLEK,True,True,True,True,True
KUKLIO,True,True,True,True,True
KUKLOU,False,True,True,True,True
KUKVOE,True,True,True,True,True
KUMTAQ,True,True,True,True,True
KUMTEU,False,False,False,True,True
KUNPOA,True,True,True,True,True
KUNPUG,True,True,True,True,True
KUNQAN,True,True,True,True,True
KUPVOI,True,True,True,True,True
KUSDEJ,True,True,True,True,True
KUTZUX,True,True,True,True,True
KUVBAH,True,True,True,True,True
KUVBEL,True,True,True,True,True
KUWDAI,False,True,True,True,True
KUWWEG,True,True,True,True,True
KUWWIK,False,True,True,True,True
KUWWOQ,False,True,True,True,True
KUWWUW,True,True,True,True,True
KUWXAD,False,True,True,True,True
KUWXEH,False,True,True,True,True
KUWXIL,True,True,True,True,True
KUWXOR,False,True,True,True,True
KUWXUX,False,True,True,True,True
KUWYAE,True,True,True,True,True
KUZKIB,False,True,True,True,True
KUZKOH,False,True,True,True,True
KUZPOL,True,True,True,True,True
KUZPOL01,True,True,True,True,True
KUZPOL02,True,True,True,True,True
KUZPOL03,True,True,True,True,True
KUZXUA,False,True,True,True,True
KUZYAH,False,True,True,True,True
KUZYEL,False,True,True,True,True
KUZYIP,False,True,True,True,True
LACPAJ,False,True,True,True,True
LACPAJ01,False,True,True,True,True
LAGWAV,False,True,True,True,True
LAGWUP,False,True,True,True,True
LAGXAW,False,True,True,True,True
LAGYOL,True,True,True,True,True
LAHLUF,True,True,True,True,True
LAQVAE,True,True,True,True,True
LAQVEI,True,True,True,True,True
LAQVIM,True,True,True,True,True
LAQVOS,True,True,True,True,True
LARDAN,True,True,True,True,True
LARDER,True,True,True,True,True
LARDOB,True,True,True,True,True
LAVPIK,False,True,True,True,True
LAVPOQ,False,True,True,True,True
LAXYIV,True,True,True,True,True
LAYPOU,False,True,True,True,True
LAYPUA,True,True,True,True,True
LAYQAH,True,True,True,True,True
LAYQEL,True,False,False,True,True
LEDZUT,True,False,False,True,True
LEHZIL,True,True,True,True,True
LEJCOU,True,False,False,True,True
LEKLIZ,True,True,True,True,True
LENPEZ,False,True,True,True,True
LENPEZ01,False,True,True,True,True
LENPEZ02,False,True,True,True,True
LENPEZ03,False,True,True,True,True
LEXJOP,False,False,False,True,True
LEXQEN,True,True,True,True,True
LICPEV,True,True,True,True,True
LICTUP,True,True,True,True,True
LIDDIO,True,True,True,True,True
LIDXII,True,False,False,True,True
LINFOG,False,True,True,True,True
LINFUM,False,True,True,True,True
LITMAF,True,True,True,True,True
LITMEJ,True,True,True,True,True
LIYPOZ,False,True,True,True,True
LOGHUM,True,True,True,True,True
LOLPEK,True,True,True,True,True
LOLPIO,True,True,True,True,True
LOLTOX,True,True,True,True,True
LOPYIA,True,True,True,True,True
LOPYOG,False,True,True,True,True
LUCJIE,False,True,True,True,True
LUCJOK,False,True,True,True,True
LUCSEK,False,True,True,True,True
LUDJAW,True,True,True,True,True
LUJYAT,True,True,True,True,True
LUMDAA,True,True,True,True,True
LUQZOP,False,True,True,True,True
LUQZUV,True,True,True,True,True
MABZAS,False,True,True,True,True
MADYUP,False,True,True,True,True
MAGDUW,False,False,False,True,True
MAGFAE,True,False,False,True,True
MAGFEI,True,False,False,True,True
MAHHAH,False,True,True,True,True
MAHHEL,False,True,True,True,True
MAHHIP,False,True,True,True,True
MAMHEO,False,False,False,True,True
MAMSUQ,False,True,True,True,True
MAWFEZ,True,True,True,True,True
MAWJED,True,False,False,True,True
MAYFIE,True,True,True,True,True
MAYFOK,True,True,True,True,True
MAYFUQ,False,True,True,True,True
MAYGAX,False,True,True,True,True
MELMUO,True,True,True,True,True
MELNAV,True,True,True,True,True
MENMEA,True,True,True,True,True
MENMIE,True,False,False,True,True
MEQWEN,False,False,False,True,True
MEQWIR,True,True,True,True,True
MERDIX,False,True,True,True,True
MERDUJ,False,True,True,True,True
MERQIM,False,True,True,True,True
MERQOS,False,True,True,True,True
MERQUY,False,True,True,True,True
MERRAF,False,True,True,True,True
MICBAC,True,True,True,True,True
MIGDAK,True,False,False,True,True
MIGLAS,True,False,False,True,True
MIGLIA,True,True,True,True,True
MIHCOX,False,True,True,True,True
MIQMIJ,True,True,True,True,True
MIQMOP,False,True,True,True,True
MIVCUR,False,True,True,True,True
MIVDAY,False,True,True,True,True
MIVDEC,False,True,True,True,True
MIVDIG,True,True,True,True,True
MIVDOM,False,True,True,True,True
MIVDUS,False,True,True,True,True
MIVJOT,False,True,True,True,True
MIVJUZ,False,True,True,True,True
MIVKAG,False,True,True,True,True
MIWGEE,False,True,True,True,True
MIWGII,False,False,False,True,True
MIWGOO,False,False,False,True,True
MIWGUU,False,True,True,True,True
MIWHAB,False,True,True,True,True
MIWHEF,False,True,True,True,True
MIXBON,False,True,True,True,True
MIXXID,True,True,True,True,True
MIYGEI,True,True,True,True,True
MNAPAD,False,True,True,True,True
MODKAT,True,True,True,True,True
MOPCEB,True,True,True,True,True
MOPCIF,False,True,True,True,True
MOPCIF01,True,True,True,True,True
MOPGII,False,False,False,True,True
MUBSOT,True,True,True,True,True
MUBSUZ,True,True,True,True,True
MUFKUW,False,True,True,True,True
MUJSER,False,True,True,True,True
MUJSIV,False,True,True,True,True
MUMFIM,True,True,True,True,True
MUNVUP,True,True,True,True,True
MUPMOC,True,True,True,True,True
MUQNIX,False,True,True,True,True
MUTYEH,True,True,True,True,True
MUVCIQ,False,True,True,True,True
MUVVEH,True,True,True,True,True
MUVVEH01,True,True,True,True,True
MUWXUY,True,True,True,True,True
MUWXUY01,True,True,True,True,True
MUXJAR,False,True,True,True,True
MUXJEV,False,True,True,True,True
NACNTE,False,True,True,True,True
NACNTE11,False,True,True,True,True
NACQER,False,True,True,True,True
NADCII,True,True,True,True,True
NAFVAT,True,True,True,True,True
NAFXAX,True,True,True,True,True
NAFXEB,True,True,True,True,True
NAGSUN,False,True,True,True,True
NAGVOK,True,False,False,True,True
NAPANT,False,True,True,True,True
NAPANT01,False,True,True,True,True
NAPPYR,False,True,True,True,True
NAPPYR03,True,True,True,True,True
NAQKEZ,True,True,True,True,True
NAQKID,True,True,True,True,True
NAQKOG,True,False,False,True,True
NAQKOJ,True,True,True,True,True
NAQYEM,True,True,True,True,True
NARWOW,True,True,True,True,True
NAWNOS,True,True,True,True,True
NAYWIW,False,False,False,True,True
NAYWOC,True,True,True,True,True
NAYWUI,True,True,True,True,True
NEDPOE,True,True,True,True,True
NELGAP,True,True,True,True,True
NEVGUT,False,True,True,True,True
NEXKOT,True,True,True,True,True
NEXKUZ,True,True,True,True,True
NIBBIK,False,True,True,True,True
NICWOO,True,True,True,True,True
NICZUX,False,True,True,True,True
NIDBEK,False,True,True,True,True
NIDGEO,True,True,True,True,True
NIDGIS,False,True,True,True,True
NIKLUQ,False,True,True,True,True
NIKLUQ01,False,True,True,True,True
NIMCOD,False,True,True,True,True
NIMCUJ,True,True,True,True,True
NIMNEE,False,True,True,True,True
NIMNII,True,True,True,True,True
NIMNOO,False,True,True,True,True
NIMPAC,False,True,True,True,True
NIMXEO,True,True,True,True,True
NIRDIC,True,True,True,True,True
NIVNUD,False,True,True,True,True
NIVPAL,False,True,True,True,True
NIXVEW,False,False,False,True,True
NOJPAG,False,True,True,True,True
NOJPEK,True,True,True,True,True
NOJPIO,False,True,True,True,True
NOKSIS,True,True,True,True,True
NOYWOQ,False,True,True,True,True
NOYXAD,False,True,True,True,True
NOYXEH,True,True,True,True,True
NOYXOR,False,True,True,True,True
NPDTOL,False,True,True,True,True
NPDTOL02,False,True,True,True,True
NPHTHS,False,True,True,True,True
NUCFUO,False,True,True,True,True
NUCFUO01,False,True,True,True,True
NUCNOR,True,True,True,True,True
NUCNUX,True,True,True,True,True
NUCPAF,True,True,True,True,True
NUCPEJ,True,True,True,True,True
NUCVAL,False,True,True,True,True
NUKMIS,True,True,True,True,True
NUKMOY,True,True,True,True,True
NULNAK,True,True,True,True,True
NULNEO,False,True,True,True,True
NULNIS,True,False,False,True,True
NULXUQ,True,False,False,True,True
NULYAX,True,True,True,True,True
NULYEB,True,True,True,True,True
NUPFEL,False,True,True,True,True
NUPPUM,True,True,True,True,True
NUPRIB,False,True,True,True,True
NUPRIB01,True,True,True,True,True
NUPYEF,True,True,True,True,True
NUSFIR,False,True,True,True,True
NUSNOH,False,False,False,True,True
NUXNUS,True,True,True,True,True
NUXPAA,True,True,True,True,True
OBAKEL,False,True,True,True,True
OBAKIP,False,True,True,True,True
OBODUI,False,True,True,True,True
OBOHUL,False,False,False,True,True
OBUFEY,False,True,True,True,True
OCUPEJ,True,True,True,True,True
OCUXES,False,False,False,True,True
OCUXIW,False,False,False,True,True
OCUXOC,False,False,False,True,True
ODAFIL,False,False,False,True,True
ODEHUE,False,True,True,True,True
ODEJAM,True,True,True,True,True
ODEXII,True,True,True,True,True
ODEXOO,True,True,True,True,True
ODEXUU,False,True,True,True,True
ODEYAB,False,True,True,True,True
OFUPEN,False,False,False,True,True
OFUPIR,False,True,True,True,True
OFUSEQ,True,True,True,True,True
OFUSIU,True,True,True,True,True
OFUSOA,True,True,True,True,True
OFUSUG,True,True,True,True,True
OFUTOY,False,True,True,True,True
OFUTUE,False,True,True,True,True
OFUTUE01,False,True,True,True,True
OFUVAM,True,True,True,True,True
OFUVEQ,True,True,True,True,True
OGELEU,True,True,True,True,True
OGETEC,False,False,False,True,True
OGUFII,True,True,True,True,True
OGUQIT,True,True,True,True,True
OGUQOZ,True,True,True,True,True
OGUQUF,True,True,True,True,True
OGURAM,True,True,True,True,True
OGUREQ,True,True,True,True,True
OGURIU,False,True,True,True,True
OGUROA,False,True,True,True,True
OHAZEF,False,True,True,True,True
OHEGEP,False,True,True,True,True
OHEGIT,False,True,True,True,True
OHEPID,True,True,True,True,True
OHIVEJ,True,True,True,True,True
OHIZIR,True,True,True,True,True
OHIZOX,True,True,True,True,True
OHIZUD,True,True,True,True,True
OHOBAR,True,True,True,True,True
OHOBEV,True,True,True,True,True
OHOBIZ,True,True,True,True,True
OHOBOF,True,True,True,True,True
OHOBUL,True,True,True,True,True
OHOCAS,True,True,True,True,True
OHOJIH,False,False,False,True,True
OHOJON,False,True,True,True,True
OHUBUR,True,True,True,True,True
OHUCUR,True,True,True,True,True
OHUDAY,True,True,True,True,True
OHUDEC,False,True,True,True,True
OJAPAS,False,True,True,True,True
OJAPEW,False,True,True,True,True
OJAZUW,False,True,True,True,True
OJIYIQ,True,True,True,True,True
OJIYOW,False,True,True,True,True
OJIYUC,True,True,True,True,True
OJIZAJ,True,True,True,True,True
OJIZEN,True,True,True,True,True
OJOFUR,True,True,True,True,True
OKANOE,False,True,True,True,True
OKANUK,False,True,True,True,True
OKAPAS,True,True,True,True,True
